#{"t_start": 1772661605.4721558, "env_id": "None"}
r,l,t
3.2667437,10,3.41207
3.341209,10,3.480731
3.70047,10,3.55748
3.2787647,10,3.630025
2.8673663,10,3.703223
3.1536236,10,3.789199
2.848673,10,3.855739
2.8190925,10,3.910946
2.9898386,10,3.976832
2.39771,10,4.034451
3.664572,10,4.111629
2.986907,10,4.18338
2.059584,10,4.253571
3.4428132,10,4.338016
3.7465882,10,4.418852
2.521801,10,4.483131
2.9023387,10,4.564519
2.313555,10,4.642961
3.093654,10,4.715357
3.241596,10,4.794668
3.5513203,10,4.865886
1.8263611,10,4.935643
2.4272995,10,5.014886
2.8593419,10,5.09764
3.4718308,10,5.168282
4.469717,10,5.250035
3.7394416,10,5.327409
4.0807343,10,5.39803
3.0028534,10,5.473108
3.5944457,10,5.566047
2.906609,10,5.649618
3.6868372,10,5.722998
2.6111362,10,5.812724
1.379141,10,5.891102
3.0054893,10,5.968006
2.9768379,10,6.037174
2.3094544,10,6.116603
3.7139013,10,6.194279
4.12763,10,6.268954
2.3359253,10,6.351703
3.7011585,10,6.431455
3.9843304,10,6.516273
3.4459505,10,6.601007
3.3728583,10,6.705275
2.8402748,10,6.79603
2.7481368,10,6.878538
3.2274077,10,6.98224
3.0416229,10,7.054801
3.8538287,10,7.127389
2.4322128,10,7.191513
2.7501192,10,7.263155
2.2991664,10,7.342705
2.9131484,10,7.423974
3.3971086,10,7.500036
2.5285006,10,7.572013
2.6233094,10,7.651016
2.7878294,10,7.724383
2.2355075,10,7.846348
2.3665287,10,7.918211
2.6330056,10,7.993695
2.2999501,10,8.065727
3.9974794,10,8.129181
2.9350858,10,8.198718
2.5613523,10,8.262788
3.6840262,10,8.360722
3.4967368,10,8.515536
3.558798,10,8.59484
2.5000103,10,8.667892
3.8145742,10,8.751519
3.2518647,10,8.827246
3.3076596,10,8.893867
2.7449799,10,8.958903
3.679133,10,9.017304
3.2011309,10,9.088682
2.9593298,10,9.155121
2.9266286,10,9.224763
3.2371476,10,9.283145
2.2947013,10,9.360167
2.8322167,10,9.427824
3.1415124,10,9.512011
3.3505564,10,9.719968
3.3844113,10,9.953806
2.1278203,10,10.034979
3.0949259,10,10.176718
3.6643007,10,10.275532
3.0028536,10,10.370396
2.3260942,10,10.447758
3.2134871,10,10.538914
2.8023324,10,10.627177
2.7321005,10,10.705087
3.6314282,10,10.777504
2.0935726,10,10.919697
3.8801413,10,11.071503
3.7432852,10,11.283911
1.398704,10,11.470468
3.0021577,10,11.60848
2.4430552,10,11.706855
2.5171833,10,11.80398
2.0136027,10,11.899774
2.9054322,10,11.976911
2.8046937,10,12.064653
2.6960375,10,12.153233
2.3774216,10,12.239241
1.950661,10,12.327493
3.0621858,10,12.417126
3.3493457,10,12.501516
2.4743717,10,12.590896
3.0385275,10,12.68212
2.7287245,10,12.823471
3.168296,10,12.920141
2.8976295,10,13.035978
2.5264692,10,13.167014
2.5017517,10,13.467588
3.1245806,10,13.7584
3.5007925,10,13.966343
3.9406328,10,14.154783
2.8967655,10,14.284118
3.4035645,10,14.605225
3.7461967,10,14.856023
3.9326303,10,14.978583
3.4658282,10,15.058611
3.1260798,10,15.138693
2.370987,10,15.220555
