#{"t_start": 1772661767.848299, "env_id": "None"}
r,l,t
3.231412,10,1.831325
2.7451034,10,1.938886
3.2529755,10,2.033613
2.706541,10,2.296662
2.349422,10,2.58109
3.9920828,10,2.663447
3.0959177,10,2.751676
3.313118,10,2.842357
2.724117,10,2.945907
2.8882782,10,3.028456
2.9673173,10,3.118785
3.2409737,10,3.210523
2.5906456,10,3.303059
2.4173546,10,3.398126
2.831317,10,3.505099
1.7867967,10,3.580817
3.2238054,10,3.649602
3.338555,10,3.723594
2.3404455,10,3.782746
2.8421583,10,3.854956
2.766026,10,3.925909
3.4152741,10,3.994826
2.599259,10,4.081245
2.8363783,10,4.15252
2.9713635,10,4.214117
3.0034318,10,4.292321
3.2608762,10,4.423163
3.0562258,10,4.546759
3.4581897,10,4.633138
3.5180771,10,4.734571
2.6317499,10,4.832638
2.1383936,10,4.926867
3.4066074,10,5.021278
3.2445502,10,5.10737
2.9305706,10,5.186026
2.4147966,10,5.283157
3.0411808,10,5.384201
3.7855897,10,5.467347
2.069581,10,5.56152
3.3402016,10,5.645962
3.2112925,10,5.712731
3.009595,10,5.796502
2.7150712,10,5.8658
2.8143828,10,5.928572
2.9797378,10,6.006186
2.9406052,10,6.087924
3.4768584,10,6.167167
3.223365,10,6.244413
3.2659,10,6.317497
2.597423,10,6.386564
2.5449102,10,6.797877
2.424336,10,7.027478
3.7113848,10,7.212066
1.7825813,10,7.436249
1.9764549,10,7.709727
4.3139553,10,7.807232
3.4367673,10,7.905441
3.3539395,10,8.001263
2.6052856,10,8.1099
2.542398,10,8.201113
3.6895785,10,8.285645
3.560646,10,8.358146
2.0556564,10,8.432087
2.3499382,10,8.502643
2.794314,10,8.583465
3.1688414,10,8.677667
3.5644393,10,8.756527
3.691595,10,8.816679
2.0046904,10,8.878378
3.1455095,10,8.94335
3.372029,10,9.019129
2.8922353,10,9.085172
3.1527348,10,9.155309
2.6420615,10,9.218631
2.77207,10,9.278678
3.6100621,10,9.413805
3.1467416,10,9.551625
2.3404489,10,9.665725
2.78824,10,9.789196
2.9672103,10,9.922771
3.7873673,10,10.141121
3.2839918,10,10.256149
3.9389868,10,10.358495
2.74765,10,10.466029
1.9493936,10,10.550795
2.6939878,10,10.635792
3.3533762,10,10.734669
3.4730868,10,10.845942
3.3615985,10,10.968282
3.8019083,10,11.110169
2.8919811,10,11.216593
2.0311904,10,11.32314
3.4297957,10,11.438567
3.1355436,10,11.551287
1.4408003,10,11.656163
2.6947436,10,11.770867
2.5174181,10,11.995484
1.9195364,10,12.133633
3.5778985,10,12.233958
3.676756,10,12.342728
3.188713,10,12.438667
3.6868696,10,12.531892
2.9462812,10,12.624338
3.2826023,10,12.718377
4.148311,10,12.81479
3.4976594,10,12.911537
2.5141933,10,13.027877
2.2241025,10,13.143081
2.6828065,10,13.253951
3.0043752,10,13.486453
3.9590037,10,13.583643
3.6290748,10,13.65555
3.5698647,10,13.744049
3.7428746,10,13.839871
3.5797102,10,13.95541
3.5107696,10,14.028381
2.6041465,10,14.11579
4.4916034,10,14.189074
2.726801,10,14.264589
2.8072762,10,14.404469
3.131431,10,14.490338
2.400668,10,14.579739
3.7486386,10,14.661372
3.167949,10,14.7579
2.7867696,10,14.847742
3.7020712,10,14.960793
3.9275753,10,15.066311
2.3058143,10,15.160911
3.8561053,10,15.249581
3.5868418,10,15.324946
2.8214574,10,15.410579
3.538056,10,15.498197
3.3651047,10,15.583904
2.1010175,10,15.661853
2.2317092,10,15.732231
2.5840745,10,15.801048
3.4257858,10,15.864579
3.0909572,10,15.93646
2.6513643,10,16.000969
2.984283,10,16.077296
2.9108834,10,16.159707
3.0220242,10,16.228823
4.1972814,10,16.310749
3.2940803,10,16.399023
2.691329,10,16.47417
3.4776056,10,16.536439
4.017858,10,16.607781
2.908189,10,16.681824
3.0293188,10,16.748176
3.1651373,10,16.833818
2.8734148,10,16.906073
3.5737612,10,16.99886
3.6930304,10,17.079074
3.3702388,10,17.157893
3.0450368,10,17.247996
3.008696,10,17.334772
1.7725215,10,17.405681
3.4259486,10,17.485091
3.3994365,10,17.565972
3.5344532,10,17.632319
2.7032897,10,17.726986
3.0975943,10,17.803828
2.712663,10,17.876196
2.5915837,10,17.939303
2.544339,10,18.036333
3.1800013,10,18.124465
2.7766142,10,18.208585
3.339323,10,18.348017
3.1858153,10,18.43863
3.4745584,10,18.528419
3.2530797,10,18.598055
3.4664445,10,18.647551
3.1782246,10,18.709048
3.0085087,10,18.75847
3.3992548,10,18.821838
3.5840204,10,18.870694
3.3491325,10,18.931017
2.9264898,10,18.98456
3.013077,10,19.046352
3.2565176,10,19.122742
2.0871437,10,19.18942
3.0839846,10,19.258649
2.9211516,10,19.321408
3.3807933,10,19.398442
3.4190915,10,19.463059
3.0795236,10,19.534131
3.3760104,10,19.629161
3.377551,10,19.722301
2.3796582,10,19.80007
2.8276002,10,19.862256
2.6963167,10,19.940037
3.1555705,10,20.049461
3.2917135,10,20.121056
3.4612796,10,20.181126
2.4687858,10,20.338611
2.994527,10,20.425555
2.4375896,10,20.526145
2.5678966,10,20.63646
3.5788133,10,20.757308
2.5126815,10,20.847685
3.7397847,10,20.941841
3.6991243,10,21.05361
2.9514778,10,21.17551
2.620895,10,21.284459
2.8625214,10,23.383353
2.963131,10,23.539294
3.6189895,10,23.664669
3.3742328,10,23.760183
3.6261168,10,23.838427
4.355971,10,23.945107
2.0073183,10,24.163179
2.8312266,10,24.251425
2.5155334,10,24.343465
3.2039435,10,24.44116
3.2020273,10,24.542713
3.0044715,10,24.659423
2.936977,10,24.743039
3.4252648,10,24.819828
